Distance: 281.500000, Angle: 8.421875 --- diff is 1.687500
Distance: 280.500000, Angle: 10.531250 --- diff is 2.109375
Distance: 279.500000, Angle: 11.593750 --- diff is 1.062500
Distance: 279.000000, Angle: 12.578125 --- diff is 0.984375
Distance: 278.250000, Angle: 14.421875 --- diff is 1.843750
Distance: 278.000000, Angle: 15.562500 --- diff is 1.140625
Distance: 277.750000, Angle: 16.921875 --- diff is 1.359375
Distance: 277.500000, Angle: 18.906250 --- diff is 1.984375
Distance: 278.000000, Angle: 20.187500 --- diff is 1.281250
Distance: 278.000000, Angle: 21.656250 --- diff is 1.468750
Distance: 278.750000, Angle: 22.812500 --- diff is 1.156250
Distance: 279.750000, Angle: 24.156250 --- diff is 1.343750
Distance: 280.000000, Angle: 26.312500 --- diff is 2.156250
Distance: 281.500000, Angle: 26.781250 --- diff is 0.468750
Distance: 282.250000, Angle: 29.140625 --- diff is 2.359375
Distance: 284.000000, Angle: 29.843750 --- diff is 0.703125
Distance: 286.000000, Angle: 31.062500 --- diff is 1.218750
Distance: 287.250000, Angle: 33.125000 --- diff is 2.062500
Distance: 289.500000, Angle: 34.437500 --- diff is 1.312500
Distance: 291.750000, Angle: 35.218750 --- diff is 0.781250
Distance: 294.000000, Angle: 36.890625 --- diff is 1.671875
Distance: 297.000000, Angle: 38.109375 --- diff is 1.218750
Distance: 299.750000, Angle: 39.703125 --- diff is 1.593750
Distance: 303.000000, Angle: 41.015625 --- diff is 1.312500
Distance: 306.000000, Angle: 42.718750 --- diff is 1.703125
Distance: 309.750000, Angle: 43.781250 --- diff is 1.062500
Distance: 313.250000, Angle: 45.359375 --- diff is 1.578125
Distance: 317.750000, Angle: 46.421875 --- diff is 1.062500
Distance: 321.750000, Angle: 48.500000 --- diff is 2.078125
Distance: 326.750000, Angle: 49.593750 --- diff is 1.093750
Distance: 332.000000, Angle: 51.093750 --- diff is 1.500000
Distance: 337.750000, Angle: 52.265625 --- diff is 1.171875
Distance: 344.000000, Angle: 53.812500 --- diff is 1.546875
Distance: 350.500000, Angle: 55.187500 --- diff is 1.375000
Distance: 357.250000, Angle: 56.421875 --- diff is 1.234375
Distance: 364.500000, Angle: 57.718750 --- diff is 1.296875
Distance: 372.000000, Angle: 58.875000 --- diff is 1.156250
Distance: 380.750000, Angle: 60.593750 --- diff is 1.718750
Distance: 389.750000, Angle: 61.843750 --- diff is 1.250000
Distance: 399.250000, Angle: 63.250000 --- diff is 1.406250
Distance: 410.000000, Angle: 64.531250 --- diff is 1.281250
Distance: 421.750000, Angle: 65.718750 --- diff is 1.187500
Distance: 432.750000, Angle: 67.031250 --- diff is 1.312500
Distance: 446.000000, Angle: 68.500000 --- diff is 1.468750
Distance: 460.000000, Angle: 69.625000 --- diff is 1.125000
Distance: 474.750000, Angle: 71.156250 --- diff is 1.531250
Distance: 491.750000, Angle: 72.390625 --- diff is 1.234375
Distance: 509.500000, Angle: 73.843750 --- diff is 1.453125
Distance: 528.750000, Angle: 75.218750 --- diff is 1.375000
Distance: 549.750000, Angle: 76.562500 --- diff is 1.343750
Distance: 573.500000, Angle: 77.796875 --- diff is 1.234375
Distance: 599.500000, Angle: 79.015625 --- diff is 1.218750
Distance: 627.750000, Angle: 80.437500 --- diff is 1.421875
Distance: 656.500000, Angle: 81.687500 --- diff is 1.250000
Distance: 690.000000, Angle: 83.078125 --- diff is 1.390625
Distance: 425.500000, Angle: 85.875000 --- diff is 2.796875
Distance: 415.750000, Angle: 87.328125 --- diff is 1.453125
Distance: 407.250000, Angle: 89.187500 --- diff is 1.859375
Distance: 400.750000, Angle: 90.390625 --- diff is 1.203125
Distance: 393.500000, Angle: 91.984375 --- diff is 1.593750
Distance: 387.000000, Angle: 93.343750 --- diff is 1.359375
Distance: 381.250000, Angle: 95.156250 --- diff is 1.812500
Distance: 376.250000, Angle: 96.828125 --- diff is 1.671875
Distance: 371.000000, Angle: 98.109375 --- diff is 1.281250
